## blobtools v0.9.19
## assembly	: /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.fas
## coverage	: spades - /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.fas
## taxonomy	: tax0 - /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.blast
## nodesDB	: None
## taxrule	: bestsum
##
# name	length	GC	N	spades	superkingdom.t.6	superkingdom.s.7	superkingdom.c.8	phylum.t.9	phylum.s.10	phylum.c.11	order.t.12	order.s.13	order.c.14	family.t.15	family.s.16	family.c.17	genus.t.18	genus.s.19	genus.c.20	species.t.21	species.s.22	species.c.23
DRR031484_1_length_1587_cov_3.53982	1587	0.5312	0	3.54	Bacteria	30897.0	0	Proteobacteria	30897.0	0	Rhizobiales	30897.0	0	Bartonellaceae	15673.0	2	Bartonella	15673.0	3	uncultured Rhizobiales bacterium	10552.0	7
DRR031486_1_length_256_cov_0.686567	256	0.5039	0	0.687	Bacteria	4666.0	0	Firmicutes	4254.0	1	Lactobacillales	4254.0	1	Lactobacillaceae	4254.0	1	Lactobacillus	4254.0	1	Lactobacillus kunkeei	4254.0	1
DRR031492_1_length_1444_cov_1.89993	1444	0.5007	0	1.9	Bacteria	25478.0	0	Firmicutes	25478.0	0	Lactobacillales	25478.0	0	Lactobacillaceae	25478.0	0	Lactobacillus	23370.0	1	Lactobacillus kunkeei	23370.0	1
DRR031499_1_length_449_cov_1.39848	449	0.5523	0	1.398	Bacteria	6115.0	0	Proteobacteria	3644.0	1	Rhizobiales	3047.0	2	Bacteria-undef	2471.0	3	Bacteria-undef	2471.0	3	uncultured Rhizobiales bacterium	1863.0	5
DRR031499_2_length_354_cov_1.22742	354	0.5	0	1.227	Bacteria	5221.0	0	Proteobacteria	5221.0	0	Neisseriales	4683.0	1	Neisseriaceae	4683.0	1	Neisseria	2525.0	3	Neisseria meningitidis	2525.0	4
DRR031499_3_length_347_cov_1.02397	347	0.5476	0	1.024	Bacteria	5374.0	0	Proteobacteria	3738.0	1	Rhizobiales	2640.0	2	Rhizobiaceae	2640.0	2	Rhizobium	2108.0	3	uncultured bacterium	1091.0	7
DRR031501_1_length_262_cov_601.71	262	0.4656	0	601.71	Eukaryota	4814.0	0	Arthropoda	4616.0	1	Hymenoptera	3949.0	4	Apidae	2271.0	10	Apis	582.0	16	Apis mellifera	582.0	17
DRR031502_1_length_210_cov_1.10968	210	0.6095	0	1.11	Bacteria	2917.0	0	Proteobacteria	1732.0	1	Rhizobiales	1732.0	1	Rhizobiaceae	1732.0	1	Rhizobium	1732.0	1	uncultured bacterium	1185.0	2
DRR031503_1_length_208_cov_1144.56	208	0.4856	0	1144.56	Eukaryota	3678.0	0	Arthropoda	3678.0	0	Hymenoptera	3678.0	0	Apidae	1925.0	4	Apis	770.0	8	Apis mellifera	770.0	8
DRR031554_1_length_1624_cov_5.98343	1624	0.5271	0	5.983	Bacteria	30901.0	0	Proteobacteria	30901.0	0	Rhizobiales	30901.0	0	Bartonellaceae	15677.0	2	Bartonella	15677.0	3	uncultured Rhizobiales bacterium	10552.0	7
